순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
431,신답지하도로,일반도로,도시고속도로,중로1류,폭20-25m,특별시도
432,신대방~신림선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
433,신도림~구로선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
434,신도림로,일반도로,국지도로,중로2류,폭15-20m,구도
435,신림~노량진선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
436,신림~봉천선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
437,신림~진관내선,일반도로,주간선도로,대로1류,폭35-40m,특별시도
438,신림로,일반도로,국지도로,중로2류,폭15-20m,구도
439,신목로7길,일반도로,국지도로,대로3류,폭25-30m,구도
440,신반포로,일반도로,국지도로,중로2류,폭15-20m,구도
441,신반포로16길,일반도로,국지도로,중로2류,폭15-20m,구도
442,신사~청담선,일반도로,보조간선도로,광로3류,폭40-50m,특별시도
443,신사~홍은선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
444,신설~공릉선,일반도로,주간선도로,대로1류,폭35-40m,특별시도
445,신설~답십리선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
446,신영~동선동선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
447,신월~가양선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
448,신월~노량진선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
449,신월~목동선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
450,신월~신당선,일반도로,주간선도로,대로1류,폭35-40m,특별시도
451,신월~화곡선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
452,신월로,일반도로,국지도로,중로2류,폭15-20m,구도
453,신월여의지하도로,자동차전용도로,도시고속도로,중로2류,폭15-20m,특별시도
454,신정~목동선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
455,신정~봉천선,일반도로,주간선도로,중로2류,폭15-20m,특별시도
456,신정로,일반도로,국지도로,중로2류,폭15-20m,구도
457,신정로7길,일반도로,국지도로,중로2류,폭15-20m,구도
458,신정이펜1로,일반도로,국지도로,광로3류,폭40-50m,구도
459,신정이펜2로,일반도로,국지도로,중로1류,폭20-25m,구도
460,신정이펜하우스~목동로,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
461,신정중앙로,일반도로,국지도로,중로1류,폭20-25m,구도
462,신천~거여선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
463,신천동선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
464,신촌로,일반도로,국지도로,중로1류,폭20-25m,구도
465,신촌역로,일반도로,국지도로,중로2류,폭15-20m,구도
466,신촌역선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
467,신풍로17길,일반도로,국지도로,중로2류,폭15-20m,구도
468,쌍문~도봉선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
469,아리수로50길,일반도로,국지도로,중로2류,폭15-20m,구도
470,아리수로93길,일반도로,국지도로,중로2류,폭15-20m,구도
471,아리수로93나길,일반도로,국지도로,중로1류,폭20-25m,구도
472,아리수로93다길,일반도로,국지도로,대로3류,폭25-30m,구도
473,아리수로94길,일반도로,국지도로,중로2류,폭15-20m,구도
474,아리수로97길,일반도로,국지도로,중로1류,폭20-25m,구도
475,아리수로98길,일반도로,국지도로,중로1류,폭20-25m,구도
476,아차산로,일반도로,국지도로,중로2류,폭15-20m,구도
477,아차산로36길,일반도로,국지도로,중로1류,폭20-25m,구도
478,아차산로70길,일반도로,국지도로,중로1류,폭20-25m,구도
479,안양천로,일반도로,국지도로,중로1류,폭20-25m,구도
480,알마타길,일반도로,국지도로,중로2류,폭15-20m,구도
481,암사~강일선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
482,암사~상일선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
483,압구정로,일반도로,국지도로,대로2류,폭30-35m,구도
484,양녕로,일반도로,국지도로,중로1류,폭20-25m,구도
485,양산로,일반도로,국지도로,대로3류,폭25-30m,구도
486,양산로,일반도로,국지도로,중로2류,폭15-20m,구도
487,양재~혜화선,일반도로,주간선도로,대로3류,폭25-30m,특별시도
488,양재대로,일반도로,국지도로,대로3류,폭25-30m,구도
489,양재대로2길,일반도로,국지도로,중로2류,폭15-20m,구도
490,양재대로84길,일반도로,국지도로,중로1류,폭20-25m,구도
491,양재대로88길,일반도로,국지도로,대로3류,폭25-30m,구도
492,양재대로~헌릉로간연결도로,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
493,양재지하도로,일반도로,도시고속도로,중로2류,폭15-20m,특별시도
494,양천로,일반도로,국지도로,중로2류,폭15-20m,구도
495,양천로55길,일반도로,국지도로,중로2류,폭15-20m,구도
496,양천로57길,일반도로,국지도로,중로2류,폭15-20m,구도
497,양천로6길,일반도로,국지도로,중로2류,폭15-20m,구도
498,양평~노고산선,일반도로,주간선도로,대로1류,폭35-40m,특별시도
499,양평~상도선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
500,양평로,일반도로,국지도로,중로2류,폭15-20m,구도
501,양평로21길,일반도로,국지도로,중로2류,폭15-20m,구도
502,양화로,일반도로,국지도로,중로2류,폭15-20m,구도
503,양화로18길,일반도로,국지도로,중로2류,폭15-20m,구도
504,언주로,일반도로,국지도로,중로1류,폭20-25m,구도
505,언주로7길,일반도로,국지도로,중로2류,폭15-20m,구도
506,여의공원로,일반도로,국지도로,중로1류,폭20-25m,구도
507,여의교지하도로,일반도로,도시고속도로,중로2류,폭15-20m,특별시도
508,여의나루로,일반도로,국지도로,중로1류,폭20-25m,구도
509,여의나루로4길,일반도로,국지도로,중로1류,폭20-25m,구도
510,여의대로,일반도로,국지도로,대로2류,폭30-35m,구도
511,여의대방로,일반도로,국지도로,중로2류,폭15-20m,구도
512,여의대방로10길,일반도로,국지도로,중로2류,폭15-20m,구도
513,여의대방로20길,일반도로,국지도로,대로3류,폭25-30m,구도
514,여의대방로35가길,일반도로,국지도로,중로2류,폭15-20m,구도
515,여의대방로36길,일반도로,국지도로,중로2류,폭15-20m,구도
516,여의대방로43라길,일반도로,국지도로,중로2류,폭15-20m,구도
